"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7","groupForm:groupDS8:domainScore8","groupForm:group13:groupDS13:domainScore13","groupForm:group13:groupDS14:domainScore14","groupForm:group13:groupDS15:domainScore15"
"1",2,"CABO DELGADO","ANCUABE","CS Ntutupue","fOMensxYJQ4","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,100,100,71,80,36,70,67,0,NA
"2",2,"CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,86,100,75,60,83,100,100,100,NA
"3",2,"CABO DELGADO","CIDADE DE PEMBA","CS Chuiba","VN93iwE183q","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,100,43,63,25,20,25,30,33,0,NA
"4",2,"CABO DELGADO","METUGE","CS Metuge","q6yzjdauWyx","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,86,100,57,60,73,70,67,0,NA
"5",8,"INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",25,25,100,100,100,80,40,100,100,0,NA
"6",8,"INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",100,100,86,86,100,40,60,100,100,100,NA
"7",8,"INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",25,25,71,100,88,100,83,100,67,100,NA
"8",6,"MANICA","BÁRUE","CS Catandica","cQGzy7ez571","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,100,100,60,100,80,100,100,NA
"9",6,"MANICA","CIDADE DE CHIMOIO","CS 7 De Abril","lw4UAQWs1mX","supervisao999","central","USAID","supervisao999","ECHO",100,100,86,88,100,100,58,100,100,100,NA
"10",6,"MANICA","CIDADE DE CHIMOIO","CS Eduardo Mondlane","KMnM7UdzVQC","supervisao999","central","USAID","supervisao999","ECHO",100,100,100,88,88,100,67,100,100,100,NA
"11",6,"MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,100,88,80,82,80,100,100,NA
"12",6,"MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,100,100,86,71,60,27,50,0,0,NA
"13",6,"MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,100,100,100,100,80,100,100,NA
"14",6,"MANICA","MANICA","CS Manica","OYQDwvgshMj","supervisao999","central","USAID","supervisao999","ECHO",100,100,86,88,100,100,75,90,100,100,NA
"15",3,"NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","FGH",100,100,86,75,25,60,50,71,67,100,NA
"16",3,"NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",100,100,86,88,38,80,58,100,67,67,NA
"17",3,"NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",67,67,71,71,0,60,36,70,0,0,NA
"18",3,"NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",75,75,71,71,43,80,0,80,33,67,NA
"19",7,"SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,100,75,60,55,70,67,33,NA
"20",7,"SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,100,75,80,75,90,100,67,NA
"21",7,"SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,100,57,75,50,40,55,60,0,0,NA
"22",5,"TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,88,100,80,92,100,100,100,NA
"23",5,"TETE","CHANGARA","CS Chipembere","IszmV9QEbDo","supervisao999","central","MISAU","supervisao999","nao_ajuda",50,50,71,100,29,20,0,30,0,0,NA
"24",5,"TETE","CIDADE DE TETE","HP Tete","CgH5aTlqbTe","supervisao999","central","MISAU","supervisao999","ECHO",33,33,100,86,86,60,0,60,33,67,NA
"25",5,"TETE","MOATIZE","CS Moatize","HutmsTbIiVr","supervisao999","central","MISAU","supervisao999","ECHO",100,100,71,100,100,40,100,100,67,100,NA
