"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7"
"1",2,"CABO DELGADO","ANCUABE","CS Ntutupue","fOMensxYJQ4","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,100,100,100,100,NA
"2",2,"CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,100,100,100,100,NA
"3",2,"CABO DELGADO","CIDADE DE PEMBA","CS Chuiba","VN93iwE183q","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,75,50,100,0,0,NA
"4",2,"CABO DELGADO","METUGE","CS Metuge","q6yzjdauWyx","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,100,50,100,0,NA
"5",8,"INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",100,25,83,50,0,0,NA
"6",8,"INHAMBANE","MAXIXE","CS Chicuque","XAGdOEhSp0S","supervisao999","central","MISAU","supervisao999","EGPAF",100,0,17,0,0,0,NA
"7",8,"INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,25,83,50,50,0,NA
"8",6,"MANICA","BÁRUE","HD Catandica","C5sZYUmuWE2","supervisao999","central","MISAU","supervisao999","ECHO",100,75,83,100,100,0,NA
"9",6,"MANICA","CIDADE DE CHIMOIO","CS 7 De Abril","lw4UAQWs1mX","supervisao999","central","USAID","supervisao999","ECHO",100,25,83,0,0,0,NA
"10",6,"MANICA","CIDADE DE CHIMOIO","CS Eduardo Mondlane","KMnM7UdzVQC","supervisao999","central","USAID","supervisao999","ECHO",100,75,83,50,50,100,NA
"11",6,"MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",100,75,83,50,50,0,NA
"12",6,"MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",100,50,83,50,100,0,NA
"13",6,"MANICA","MANICA","CS Manica","OYQDwvgshMj","supervisao999","central","USAID","supervisao999","ECHO",100,75,83,100,50,0,NA
"14",3,"NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",100,100,100,100,50,0,NA
"15",3,"NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",100,100,100,50,100,0,NA
"16",3,"NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",100,75,67,50,0,0,NA
"17",3,"NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",0,75,50,0,0,0,NA
"18",7,"SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",100,50,67,100,100,0,NA
"19",7,"SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",0,50,17,100,50,0,NA
"20",7,"SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,0,50,100,100,0,NA
"21",5,"TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central","MISAU","supervisao999","ECHO",100,100,67,50,50,0,NA
"22",5,"TETE","MOATIZE","CS Moatize","HutmsTbIiVr","supervisao999","central","MISAU","supervisao999","ECHO",100,75,83,50,100,0,NA
