"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7","groupForm:groupDS8:domainScore8","groupForm:groupDS9:domainScore9","groupForm:group10:domainScore10"
"1",2,"CABO DELGADO","ANCUABE","CS Ntutupue","fOMensxYJQ4","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",47,40,57,20,0,50,33,0,NA
"2",2,"CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",27,40,0,40,0,75,33,0,NA
"3",2,"CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",80,83,88,63,20,75,100,0,NA
"4",2,"CABO DELGADO","METUGE","CS Metuge","q6yzjdauWyx","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",94,67,50,14,83,50,67,0,NA
"5",8,"INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",93,83,100,86,83,100,67,0,88
"6",8,"INHAMBANE","MAXIXE","CS Chicuque","XAGdOEhSp0S","supervisao999","central","MISAU","supervisao999","EGPAF",64,67,100,83,83,100,67,0,76
"7",8,"INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",76,67,100,80,83,75,67,0,80
"8",6,"MANICA","BÁRUE","HD Catandica","C5sZYUmuWE2","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,83,100,100,100,100,98
"9",6,"MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",95,100,100,80,100,100,100,100,96
"10",6,"MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",38,25,100,13,50,25,33,0,42
"11",6,"MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",93,100,100,83,100,100,100,100,96
"12",3,"NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",82,83,75,63,67,50,67,0,71
"13",3,"NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",84,67,75,50,33,25,67,0,63
"14",3,"NAMPULA","MOGOVOLAS","CS Nametil","Z5pIRYaLVXz","supervisao999","central","MISAU","supervisao999","ICAP",100,100,50,13,67,25,67,0,61
"15",7,"SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,75,100,75,67,0,89
"16",7,"SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",74,100,100,75,100,75,67,0,80
"17",7,"SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,67,100,83,50,75,100,0,86
"18",5,"TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central","MISAU","supervisao999","ECHO",94,100,88,83,67,100,100,100,NA
"19",5,"TETE","CIDADE DE TETE","HP Tete","CgH5aTlqbTe","supervisao999","central","MISAU","supervisao999","ECHO",90,100,100,83,67,100,100,100,NA
"20",5,"TETE","MOATIZE","CS Moatize","HutmsTbIiVr","supervisao999","central","MISAU","supervisao999","ECHO",95,100,100,100,67,100,100,100,NA
