"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7","groupForm:groupDS8:domainScore8","groupForm:groupDS9:domainScore9","groupForm:groupDS10:domainScore10","groupForm:groupDS11:domainScore11","groupForm:groupDS12:domainScore12","groupForm:groupDS13:domainScore13","groupForm:groupDS14:domainScore14","groupForm:groupDS15:domainScore15"
"1","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",83,76,0,80,100,100,100,100,75,80,100,67,100,100,85
"2","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",67,81,33,30,38,33,100,100,92,40,0,100,100,67,62
"3","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,95,0,60,100,83,100,100,83,80,0,100,100,100,87
"4","06","MANICA","BÁRUE","CS Catandica","cQGzy7ez571","supervisao999","central","MISAU","supervisao999","ECHO",93,0,0,80,88,67,100,100,83,80,0,100,100,100,82
"5","06","MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",86,95,100,90,88,50,100,86,83,80,100,100,100,100,88
"6","06","MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",33,0,0,50,75,0,50,40,67,60,0,67,0,0,48
"7","06","MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",67,86,0,90,100,50,88,100,75,100,0,67,100,100,81
"8","03","NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",100,100,50,20,100,100,88,100,83,60,100,100,100,0,83
"9","03","NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",93,100,100,40,100,100,100,83,100,60,100,100,100,100,90
"10","03","NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",50,100,100,90,88,100,88,71,83,40,0,33,100,100,85
"11","03","NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",67,95,67,70,88,83,0,67,100,40,0,33,0,67,74
"12","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",50,71,0,20,88,33,63,100,75,80,50,67,100,100,62
"13","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",57,86,0,20,100,50,38,67,83,100,0,67,0,33,66
"14","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","ECHO",50,48,0,0,38,33,38,40,67,20,0,33,0,0,38
