"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS6:domainScore6"
"1","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",93,50,30,38,59
"2","08","INHAMBANE","MAXIXE","CS Maxixe","heCPyILQjNf","supervisao999","central","MISAU","Kkk,l",NA,NA,NA,NA,NA,NA
"3","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",40,33,0,75,36
"4","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",93,40,80,88,82
"5","06","MANICA","BÁRUE","CS Catandica","cQGzy7ez571","supervisao999","central","MISAU","supervisao999","ECHO",87,100,100,63,86
"6","06","MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",93,83,10,63,64
"7","06","MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",27,0,30,38,27
"8","06","MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",87,100,40,100,79
"9","03","NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",100,83,50,100,85
"10","03","NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",87,100,0,100,69
"11","03","NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",87,67,90,88,85
"12","03","NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",100,0,60,88,76
"13","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",60,50,30,25,44
"14","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",80,83,60,50,69
"15","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","ECHO",27,50,10,38,28
