"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7","groupForm:groupDS8:domainScore8","groupForm:groupDS9:domainScore9","groupForm:groupDS10:domainScore10","groupForm:groupDS11:domainScore11","groupForm:groupDS12:domainScore12","groupForm:groupDS13:domainScore13"
"1","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,100,0,67,0,0,67
"2","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",100,100,100,84,100,50,100,0,0,0,0,0,92
"3","08","INHAMBANE","MAXIXE","CS Chicuque","XAGdOEhSp0S","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,100,0,67,67,100,73
"4","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",100,100,100,95,100,50,0,0,0,0,0,0,94
"5","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,100,0,33,0,0,50
"6","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,94,100,63,100,100,100,0,0,0,0,0,84
"7","06","MANICA","BÁRUE","HD Catandica","C5sZYUmuWE2","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,95,50,100,33,100,100,100,100,100,93
"8","06","MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",100,88,100,26,50,100,100,100,100,0,67,0,64
"9","06","MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",100,88,100,26,50,100,100,100,100,0,100,50,67
"10","03","NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",100,88,80,79,100,100,33,100,100,0,33,50,78
"11","03","NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",100,88,100,68,100,100,33,100,100,100,67,50,80
"12","03","NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",100,88,60,68,50,100,33,50,0,50,67,50,69
"13","03","NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",100,81,60,79,0,100,100,100,0,0,33,50,71
"14","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,95,100,100,33,100,100,100,0,0,94
"15","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,89,100,100,0,100,0,0,67,50,86
"16","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","nao_ajuda",100,63,60,26,0,100,0,0,0,0,0,0,42
